Nom du produit,Quantité,Prix Unitaire (€),Catégorie
Télévision,15,400,Électronique
Ordinateur Portable,10,800,Électronique
Casque Audio,30,50,Électronique
Smartphone,20,600,Électronique
Tablette,25,250,Électronique
Enceinte Bluetooth,40,80,Électronique
Imprimante,15,120,Électronique
Clavier Mécanique,35,90,Gaming
Écran PC,18,200,Électronique
Chargeur Rapide,50,25,Électronique
Caméra de Surveillance,12,150,Électronique
Disque Dur Externe,22,100,Électronique
Ventilateur USB,45,15,Électronique
Station Météo,10,45,Électronique
Réfrigérateur,8,500,Électroménager
Lave-linge,5,600,Électroménager
Micro-ondes,7,120,Électroménager
Four Électrique,6,350,Électroménager
Aspirateur Robot,9,300,Électroménager
